,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MB 100, POBLACION TOTAL , VIVIENDAS TOTALES ,% POBREZA TOTAL,POBLACION POBREZA TOTAL, % POBREZA EXTREMA , POBLACION POBREZA EXTREMA , % REZAGO EDUCATIVO , POBLACION REZAGO EDUCATIVO , % CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , POBLACION CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , % CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , POBLACION CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , % CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , POBLACION CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , % CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , POBLACION CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , % CARENCIA POR ACCESO A LA ALIMENTACION , POBLACION CARENCIA POR ACCESO A LA ALIMENTACION , % Población con ingreso inferior a la línea de pobreza por ingresos , Población con ingreso inferior a la línea de pobreza por ingresos , % Población con ingreso inferior a la línea de pobreza extrema por ingresos , Población con ingreso inferior a la línea de pobreza extrema por ingresos , GRADO DE REZAGO SOCIAL , %Población de 15 años o más analfabeta , % Población de 6 a 14 años que no asiste a la escuela , % Población de 15 años y más con educación básica incompleta , % Población sin derechohabiencia a servicios de salud , % Viviendas con piso de tierra , % Viviendas que no disponen de excusado o sanitario , % Viviendas que no disponen de agua entubada de la red pública , % Viviendas que no disponen de drenaje , % Viviendas que no disponen de energía eléctrica , % Viviendas que no disponen de lavadora , % Viviendas que no disponen de refrigerador , GRADO DE MARGINACION , % Población de 15 años o más analfabeta  , % Población  de 15 años o más sin educación básica , % Ocupantes en viviendas particulares sin drenaje ni excusado , % Ocupantes en viviendas particulares sin energía eléctrica , % Ocupantes en viviendas particulares sin agua entubada , % Ocupantes en viviendas particulares con piso de tierra , % Viviendas particulares con hacinamiento , % Población en localidades con menos de 5 000 habitantes , % Población ocupada con ingresos menores a 2 salarios mínimos , % VIVIENDAS CON PAREDES DE MATERIALES ENDEBLES , % VIVIENDAS CON TECHOS DE MATERIALES ENDEBLES , FAISMUN 2023 
20011,Calihualá,NO," 1,402 ", 339 , 83.4 ," 1,171 ", 39.40 , 553 , 40.47 , 568 , 20.71 , 291 , 81.66 ," 1,146 ", 20.87 , 293 , 75.02 ," 1,053 ", 53.60 , 752 , 83.91 ," 1,177 ", 51.54 , 723 ,Medio, 23.54 , 3.23 , 67.73 , 20.54 , 11.80 , 9.44 , 4.42 , 26.84 , 1.77 , 56.05 , 26.84 ,Alto, 23.6 , 67.8 , 8.2 , 1.9 , 4.8 , 11.2 , 36.0 , 100.0 , 93.1 , 2.19 , -   ," 4,296,692 "
20012,Candelaria Loxicha,NO," 11,166 "," 2,446 ", 84.7 ," 9,457 ", 44.75 ," 4,999 ", 39.57 ," 4,420 ", 41.74 ," 4,663 ", 83.33 ," 9,309 ", 54.76 ," 6,117 ", 84.46 ," 9,435 ", 34.89 ," 3,898 ", 85.01 ," 9,496 ", 52.22 ," 5,834 ",Alto, 20.88 , 10.37 , 62.09 , 42.44 , 25.14 , 2.13 , 16.15 , 25.43 , 8.79 , 86.75 , 55.81 ,Muy alto, 20.9 , 62.1 , 1.3 , 8.5 , 17.2 , 25.9 , 51.8 , 100.0 , 87.6 , 29.20 , 0.94 ," 37,801,477 "
20013,Ciénega de Zimatlán,NO," 3,043 ", 896 , 69.4 ," 2,113 ", 8.96 , 273 , 30.07 , 915 , 29.11 , 886 , 77.56 ," 2,361 ", 14.21 , 433 , 18.77 , 571 , 9.05 , 276 , 72.36 ," 2,203 ", 26.59 , 809 ,Bajo, 7.59 , 2.73 , 49.81 , 29.35 , 11.16 , 0.33 , 0.45 , 2.57 , 0.89 , 17.41 , 12.72 ,Bajo, 7.6 , 49.8 , 0.1 , 0.6 , 0.5 , 12.1 , 10.7 , 100.0 , 84.3 , 1.34 , 0.22 ," 5,221,378 "
20014,Ciudad Ixtepec,NO," 28,082 "," 8,568 ", 30.0 ," 7,488 ", 4.36 ," 1,085 ", 15.61 ," 3,891 ", 33.88 ," 8,444 ", 51.10 ," 12,737 ", 12.95 ," 3,226 ", 22.68 ," 5,653 ", 18.73 ," 4,667 ", 34.87 ," 8,690 ", 7.70 ," 1,920 ",Muy bajo, 6.50 , 3.51 , 30.94 , 25.27 , 4.74 , 1.49 , 2.16 , 1.34 , 1.04 , 34.59 , 11.15 ,Muy bajo, 6.5 , 31.0 , 0.9 , 0.7 , 2.0 , 4.9 , 24.0 , 7.4 , 68.3 , 2.32 , 0.45 ," 19,924,168 "
20015,Coatecas Altas,NO," 5,356 "," 1,212 ", 95.1 ," 5,096 ", 50.45 ," 2,703 ", 49.71 ," 2,664 ", 28.46 ," 1,525 ", 86.03 ," 4,609 ", 36.89 ," 1,976 ", 84.33 ," 4,518 ", 21.96 ," 1,177 ", 95.30 ," 5,106 ", 69.81 ," 3,741 ",Muy alto, 30.51 , 7.38 , 75.33 , 28.36 , 23.18 , 6.85 , 16.83 , 61.55 , 1.65 , 82.01 , 44.55 ,Muy alto, 30.5 , 75.3 , 5.5 , 1.0 , 14.5 , 22.9 , 42.6 , 100.0 , 97.4 , 2.88 , 0.49 ," 19,464,140 "
20016,Coicoyán de las Flores,SI," 9,563 "," 1,658 ", 99.3 ," 9,500 ", 82.35 ," 7,878 ", 54.23 ," 5,188 ", 16.12 ," 1,543 ", 89.16 ," 8,530 ", 66.48 ," 6,360 ", 93.27 ," 8,923 ", 49.78 ," 4,762 ", 99.37 ," 9,507 ", 93.27 ," 8,923 ",Muy alto, 42.69 , 16.11 , 80.36 , 16.25 , 38.78 , 6.51 , 2.35 , 68.58 , 7.72 , 92.16 , 76.30 ,Muy alto, 42.7 , 80.4 , 5.6 , 6.7 , 1.9 , 41.2 , 60.7 , 100.0 , 93.2 , 2.96 , 2.35 ," 49,419,680 "
20017,La Compañía,NO," 3,607 "," 1,059 ", 85.9 ," 3,100 ", 32.59 ," 1,176 ", 39.48 ," 1,425 ", 27.31 , 986 , 83.86 ," 3,026 ", 33.18 ," 1,198 ", 76.30 ," 2,754 ", 22.69 , 819 , 86.28 ," 3,114 ", 48.36 ," 1,745 ",Alto, 18.70 , 5.03 , 66.07 , 27.53 , 16.53 , 2.36 , 13.60 , 41.08 , 2.08 , 61.47 , 36.83 ,Alto, 18.7 , 66.1 , 1.5 , 1.8 , 14.4 , 17.1 , 36.2 , 100.0 , 96.9 , 15.60 , 0.09 ," 10,808,299 "
20018,Concepción Buenavista,NO, 752 , 237 , 75.9 , 571 , 23.80 , 179 , 37.52 , 282 , 16.96 , 128 , 75.70 , 569 , 20.29 , 153 , 55.41 , 417 , 23.90 , 180 , 77.68 , 584 , 43.41 , 326 ,Medio, 8.29 , 6.35 , 64.83 , 18.09 , 7.17 , 6.33 , 5.91 , 8.86 , 3.80 , 46.84 , 43.46 ,Alto, 8.3 , 64.8 , 4.4 , 2.3 , 5.5 , 7.3 , 31.2 , 100.0 , 94.1 , 1.27 , -   ," 3,228,364 "
20019,Concepción Pápalo,NO," 2,754 ", 853 , 93.1 ," 2,564 ", 34.53 , 951 , 43.38 ," 1,195 ", 20.22 , 557 , 75.70 ," 2,085 ", 23.27 , 641 , 45.83 ," 1,262 ", 26.94 , 742 , 95.10 ," 2,620 ", 72.88 ," 2,008 ",Medio, 18.59 , 4.19 , 70.36 , 20.30 , 18.52 , 0.94 , 0.47 , 23.33 , 0.47 , 54.75 , 35.17 ,Alto, 18.6 , 70.5 , 0.5 , 0.5 , 0.3 , 19.4 , 30.0 , 100.0 , 96.0 , 0.35 , 0.58 ," 8,144,315 "
20020,Constancia del Rosario,NO," 4,847 "," 1,055 ", 78.3 ," 3,799 ", 42.96 ," 2,083 ", 37.44 ," 1,815 ", 15.72 , 762 , 82.98 ," 4,024 ", 42.14 ," 2,043 ", 71.04 ," 3,445 ", 46.24 ," 2,242 ", 79.05 ," 3,833 ", 52.25 ," 2,534 ",Medio, 30.48 , 11.35 , 59.21 , 16.13 , 18.58 , 1.42 , 0.95 , 4.74 , 3.03 , 61.42 , 30.71 ,Alto, 30.5 , 59.2 , 1.3 , 2.3 , 0.9 , 20.8 , 42.9 , 100.0 , 77.0 , 0.57 , 1.61 ," 15,051,439 "
