,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MB 100, POBLACION TOTAL , VIVIENDAS TOTALES ,% POBREZA TOTAL,POBLACION POBREZA TOTAL, % POBREZA EXTREMA , POBLACION POBREZA EXTREMA , % REZAGO EDUCATIVO , POBLACION REZAGO EDUCATIVO , % CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , POBLACION CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , % CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , POBLACION CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , % CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , POBLACION CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , % CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , POBLACION CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , % CARENCIA POR ACCESO A LA ALIMENTACION , POBLACION CARENCIA POR ACCESO A LA ALIMENTACION , % Población con ingreso inferior a la línea de pobreza por ingresos , Población con ingreso inferior a la línea de pobreza por ingresos , % Población con ingreso inferior a la línea de pobreza extrema por ingresos , Población con ingreso inferior a la línea de pobreza extrema por ingresos , GRADO DE REZAGO SOCIAL , %Población de 15 años o más analfabeta , % Población de 6 a 14 años que no asiste a la escuela , % Población de 15 años y más con educación básica incompleta , % Población sin derechohabiencia a servicios de salud , % Viviendas con piso de tierra , % Viviendas que no disponen de excusado o sanitario , % Viviendas que no disponen de agua entubada de la red pública , % Viviendas que no disponen de drenaje , % Viviendas que no disponen de energía eléctrica , % Viviendas que no disponen de lavadora , % Viviendas que no disponen de refrigerador , GRADO DE MARGINACION , % Población de 15 años o más analfabeta  , % Población  de 15 años o más sin educación básica , % Ocupantes en viviendas particulares sin drenaje ni excusado , % Ocupantes en viviendas particulares sin energía eléctrica , % Ocupantes en viviendas particulares sin agua entubada , % Ocupantes en viviendas particulares con piso de tierra , % Viviendas particulares con hacinamiento , % Población en localidades con menos de 5 000 habitantes , % Población ocupada con ingresos menores a 2 salarios mínimos , % VIVIENDAS CON PAREDES DE MATERIALES ENDEBLES , % VIVIENDAS CON TECHOS DE MATERIALES ENDEBLES , FAISMUN 2023 
20133,San Esteban Atatlahuca,SI," 3,934 "," 1,201 ", 93.1 ," 3,663 ", 39.71 ," 1,563 ", 27.86 ," 1,096 ", 8.73 , 344 , 75.12 ," 2,957 ", 32.86 ," 1,293 ", 91.14 ," 3,587 ", 26.28 ," 1,034 ", 94.63 ," 3,725 ", 71.14 ," 2,800 ",Muy alto, 12.21 , 1.43 , 56.14 , 8.44 , 29.39 , 2.66 , 12.32 , 78.43 , 8.58 , 78.52 , 81.18 ,Alto, 12.2 , 56.2 , 1.7 , 7.3 , 10.7 , 28.8 , 18.2 , 100.0 , 95.6 , 0.59 , 1.17 ," 20,249,335 "
20134,San Felipe Jalapa de Díaz,SI," 28,500 "," 6,907 ", 96.8 ," 32,817 ", 71.34 ," 24,178 ", 42.78 ," 14,497 ", 38.30 ," 12,978 ", 91.45 ," 30,992 ", 35.58 ," 12,058 ", 90.84 ," 30,786 ", 66.90 ," 22,672 ", 97.16 ," 32,929 ", 85.29 ," 28,906 ",Muy alto, 23.58 , 13.68 , 67.44 , 21.94 , 20.33 , 3.37 , 23.79 , 48.86 , 1.52 , 87.01 , 49.23 ,Muy alto, 23.6 , 67.5 , 2.1 , 1.3 , 23.1 , 19.9 , 55.5 , 75.9 , 95.2 , 5.81 , 2.03 ," 124,927,067 "
20135,San Felipe Tejalápam,NO," 8,231 "," 2,041 ", 76.7 ," 6,316 ", 29.77 ," 2,451 ", 23.26 ," 1,916 ", 49.68 ," 4,091 ", 84.21 ," 6,934 ", 24.45 ," 2,014 ", 77.14 ," 6,353 ", 19.90 ," 1,639 ", 77.83 ," 6,410 ", 40.40 ," 3,327 ",Medio, 6.90 , 4.52 , 45.88 , 48.63 , 13.38 , 1.22 , 11.27 , 44.19 , 1.13 , 69.48 , 27.83 ,Medio, 6.9 , 45.9 , 0.9 , 1.1 , 10.9 , 13.3 , 28.2 , 100.0 , 85.5 , 12.99 , 0.29 ," 19,077,735 "
20136,San Felipe Usila,NO," 12,191 "," 2,908 ", 91.7 ," 13,935 ", 46.03 ," 6,993 ", 22.93 ," 3,484 ", 35.82 ," 5,442 ", 86.09 ," 13,079 ", 17.40 ," 2,643 ", 98.18 ," 14,916 ", 40.03 ," 6,082 ", 91.86 ," 13,956 ", 69.69 ," 10,588 ",Alto, 19.14 , 2.70 , 54.74 , 23.98 , 17.13 , 0.34 , 4.50 , 86.00 , 1.65 , 82.70 , 25.72 ,Alto, 19.1 , 54.7 , 0.2 , 1.3 , 4.6 , 16.8 , 27.6 , 55.6 , 92.1 , 1.37 , 0.35 ," 44,035,029 "
20137,San Francisco Cahuacuá,NO," 3,450 ", 901 , 93.5 ," 3,229 ", 48.24 ," 1,665 ", 26.76 , 924 , 13.88 , 479 , 71.66 ," 2,474 ", 42.81 ," 1,478 ", 91.94 ," 3,174 ", 42.46 ," 1,466 ", 94.02 ," 3,246 ", 69.63 ," 2,404 ",Alto, 9.72 , 5.77 , 54.50 , 13.91 , 26.30 , 1.89 , 3.33 , 57.94 , 7.44 , 76.80 , 61.27 ,Alto, 9.7 , 54.4 , 0.9 , 7.5 , 2.7 , 27.2 , 49.5 , 100.0 , 95.6 , 4.43 , 0.33 ," 15,630,433 "
20138,San Francisco Cajonos,NO, 451 , 163 , 76.4 , 344 , 16.60 , 75 , 36.82 , 166 , 18.41 , 83 , 68.41 , 309 , 21.14 , 95 , 20.23 , 91 , 17.05 , 77 , 81.49 , 368 , 48.30 , 218 ,Medio, 11.41 , 10.87 , 58.42 , 18.40 , 11.04 , 1.23 , -   , 3.68 , -   , 61.35 , 21.47 ,Medio, 11.5 , 58.7 , 0.2 , -   , -   , 15.0 , 23.9 , 100.0 , 91.5 , 3.07 , 0.61 ," 1,722,676 "
20139,San Francisco Chapulapa,NO," 2,195 ", 573 , 96.2 ," 2,112 ", 48.78 ," 1,071 ", 40.48 , 889 , 10.66 , 234 , 89.67 ," 1,969 ", 41.32 , 907 , 42.16 , 926 , 50.72 ," 1,114 ", 96.65 ," 2,123 ", 80.91 ," 1,777 ",Alto, 22.29 , 3.95 , 65.15 , 10.98 , 17.98 , 1.40 , 3.84 , 32.11 , 2.27 , 80.63 , 60.91 ,Alto, 22.3 , 65.2 , 1.0 , 1.4 , 3.2 , 19.3 , 51.0 , 100.0 , 95.5 , 7.67 , 0.17 ," 9,147,780 "
20140,San Francisco Chindúa,NO, 812 , 243 , 84.3 , 685 , 28.68 , 233 , 20.82 , 169 , 21.70 , 176 , 83.17 , 675 , 22.82 , 185 , 80.55 , 654 , 25.94 , 211 , 85.39 , 693 , 50.21 , 408 ,Medio, 6.14 , 3.88 , 44.11 , 22.04 , 15.64 , 1.23 , 0.41 , 65.02 , 0.82 , 58.85 , 48.97 ,Medio, 6.1 , 44.1 , 0.2 , 0.4 , 0.4 , 13.9 , 29.2 , 100.0 , 92.7 , 2.49 , -   ," 1,774,966 "
20141,San Francisco del Mar,NO," 8,710 "," 2,447 ", 70.8 ," 6,173 ", 19.68 ," 1,715 ", 32.00 ," 2,789 ", 24.24 ," 2,112 ", 84.99 ," 7,406 ", 26.32 ," 2,294 ", 79.36 ," 6,915 ", 58.09 ," 5,062 ", 71.33 ," 6,216 ", 24.08 ," 2,098 ",Medio, 11.47 , 5.26 , 54.52 , 26.96 , 8.87 , 6.82 , 15.20 , 7.48 , 12.46 , 44.42 , 40.21 ,Alto, 11.5 , 54.6 , 5.7 , 10.7 , 13.9 , 8.9 , 31.8 , 37.3 , 90.7 , 2.50 , 0.62 ," 16,683,788 "
20142,San Francisco Huehuetlán,NO, 842 , 284 , 96.3 , 811 , 43.62 , 367 , 53.52 , 451 , 11.20 , 94 , 72.94 , 614 , 22.41 , 189 , 72.11 , 607 , 18.59 , 157 , 97.63 , 822 , 87.68 , 738 ,Alto, 34.39 , 5.93 , 72.70 , 11.40 , 11.97 , 2.46 , 7.39 , 14.44 , 0.70 , 89.79 , 66.20 ,Alto, 34.4 , 72.8 , 2.3 , 0.2 , 7.2 , 11.0 , 25.0 , 100.0 , 98.2 , 3.89 , 1.77 ," 4,520,347 "
20143,San Francisco Ixhuatán,NO," 9,461 "," 3,002 ", 65.8 ," 6,224 ", 16.82 ," 1,592 ", 28.80 ," 2,726 ", 14.29 ," 1,352 ", 74.40 ," 7,042 ", 17.86 ," 1,690 ", 51.25 ," 4,850 ", 45.54 ," 4,311 ", 69.36 ," 6,565 ", 28.28 ," 2,677 ",Bajo, 11.84 , 3.56 , 49.07 , 15.84 , 5.83 , 3.73 , 4.96 , 4.83 , 1.53 , 33.68 , 24.22 ,Bajo, 11.9 , 49.2 , 3.3 , 1.2 , 4.9 , 6.0 , 21.9 , 42.6 , 81.9 , 0.98 , 0.20 ," 15,434,165 "
20144,San Francisco Jaltepetongo,NO," 1,075 ", 351 , 88.6 , 953 , 25.72 , 277 , 29.02 , 312 , 19.51 , 210 , 71.27 , 766 , 13.14 , 141 , 66.67 , 717 , 32.55 , 350 , 90.85 , 977 , 57.91 , 622 ,Medio, 10.30 , 1.72 , 58.79 , 18.79 , 7.12 , 1.42 , 9.40 , 36.18 , 4.27 , 66.38 , 45.58 ,Alto, 10.3 , 58.8 , 0.9 , 3.8 , 10.0 , 7.2 , 27.6 , 100.0 , 96.2 , 2.85 , 0.28 ," 3,631,463 "
20145,San Francisco Lachigoló,NO," 5,215 "," 1,483 ", 49.2 ," 2,566 ", 9.50 , 496 , 14.50 , 757 , 36.57 ," 1,908 ", 61.27 ," 3,196 ", 13.60 , 709 , 26.63 ," 1,389 ", 13.99 , 730 , 53.64 ," 2,798 ", 18.34 , 957 ,Bajo, 2.90 , 5.27 , 30.35 , 38.37 , 5.80 , 0.61 , 15.78 , 7.96 , 2.36 , 33.18 , 11.67 ,Muy bajo, 2.9 , 30.4 , 0.3 , 2.4 , 17.0 , 6.2 , 16.7 , 2.4 , 64.4 , 7.35 , 0.20 ," 5,885,442 "
20146,San Francisco Logueche,SI," 2,803 ", 667 , 93.8 ," 2,631 ", 41.45 ," 1,162 ", 27.04 , 758 , 7.26 , 204 , 88.57 ," 2,483 ", 38.58 ," 1,082 ", 99.78 ," 2,798 ", 16.84 , 472 , 93.83 ," 2,631 ", 64.20 ," 1,800 ",Muy alto, 23.25 , 3.26 , 47.08 , 7.28 , 21.89 , 1.20 , 8.85 , 99.10 , 0.75 , 97.30 , 62.52 ,Alto, 23.3 , 47.1 , 0.6 , 0.3 , 8.1 , 20.3 , 45.7 , 100.0 , 91.4 , 25.19 , 0.15 ," 10,051,798 "
20147,San Francisco Nuxaño,NO, 376 , 121 , 84.8 , 319 , 13.55 , 51 , 27.25 , 102 , 9.26 , 35 , 77.25 , 290 , 11.90 , 45 , 54.23 , 204 , 13.76 , 52 , 86.62 , 326 , 46.98 , 177 ,Medio, 9.86 , 6.56 , 55.28 , 9.57 , 7.44 , 1.65 , 1.65 , 33.06 , 1.65 , 53.72 , 42.98 ,Medio, 9.9 , 55.3 , 0.5 , 0.5 , 0.5 , 5.9 , 19.8 , 100.0 , 98.0 , 1.65 , 0.83 ," 2,168,573 "
20148,San Francisco Ozolotepec,NO," 2,182 ", 501 , 90.2 ," 1,969 ", 33.12 , 723 , 32.87 , 718 , 20.26 , 442 , 71.16 ," 1,554 ", 25.50 , 557 , 88.41 ," 1,930 ", 21.28 , 465 , 92.12 ," 2,011 ", 60.10 ," 1,312 ",Alto, 20.41 , 2.24 , 55.21 , 20.49 , 12.38 , 1.40 , 5.39 , 52.50 , 5.99 , 75.65 , 67.66 ,Alto, 20.4 , 55.2 , 0.5 , 5.0 , 4.7 , 10.7 , 43.7 , 100.0 , 96.3 , 11.78 , 0.40 ," 7,025,416 "
20149,San Francisco Sola,NO," 2,019 ", 518 , 74.4 ," 1,503 ", 31.91 , 645 , 43.46 , 878 , 40.27 , 814 , 87.47 ," 1,767 ", 51.44 ," 1,039 ", 62.76 ," 1,268 ", 21.48 , 434 , 74.69 ," 1,509 ", 38.20 , 772 ,Alto, 13.80 , 13.32 , 66.35 , 41.31 , 30.69 , 3.09 , 4.05 , 27.03 , 2.90 , 49.81 , 30.89 ,Alto, 13.8 , 66.5 , 2.9 , 3.4 , 4.0 , 34.8 , 38.6 , 100.0 , 90.9 , 26.64 , -   ," 5,475,785 "
20150,San Francisco Telixtlahuaca,NO," 13,856 "," 3,387 ", 63.1 ," 7,389 ", 14.66 ," 1,717 ", 13.76 ," 1,612 ", 37.35 ," 4,375 ", 72.26 ," 8,465 ", 13.72 ," 1,608 ", 30.43 ," 3,565 ", 16.88 ," 1,978 ", 70.05 ," 8,206 ", 38.85 ," 4,551 ",Bajo, 3.29 , 4.01 , 31.24 , 28.31 , 10.51 , 1.92 , 7.97 , 8.95 , 1.62 , 38.06 , 23.94 ,Muy bajo, 3.3 , 31.3 , 1.2 , 1.1 , 7.3 , 9.8 , 29.2 , 10.0 , 69.2 , 7.42 , 0.15 ," 15,071,759 "
20151,San Francisco Teopan,SI, 312 , 101 , 99.3 , 310 , 44.13 , 138 , 36.72 , 115 , 5.57 , 17 , 79.02 , 247 , 17.38 , 54 , 33.11 , 103 , 74.75 , 233 , 99.89 , 312 , 97.04 , 303 ,Medio, 10.33 , 12.20 , 73.55 , 5.45 , 11.88 , 2.97 , -   , 2.97 , 1.98 , 43.56 , 48.51 ,Alto, 10.3 , 73.6 , 3.8 , 1.6 , -   , 16.3 , 28.7 , 100.0 , 98.3 , 0.99 , -   ," 2,248,804 "
20152,San Francisco Tlapancingo,SI," 2,472 ", 518 , 93.4 ," 2,310 ", 56.70 ," 1,402 ", 46.50 ," 1,150 ", 9.82 , 243 , 89.04 ," 2,202 ", 25.00 , 618 , 85.96 ," 2,126 ", 58.73 ," 1,452 ", 93.70 ," 2,317 ", 71.97 ," 1,780 ",Alto, 26.18 , 10.44 , 67.99 , 10.07 , 13.51 , 5.41 , 34.56 , 26.64 , 3.47 , 74.71 , 39.19 ,Muy alto, 26.2 , 68.0 , 3.8 , 3.3 , 38.5 , 13.5 , 37.6 , 100.0 , 94.8 , 2.12 , 0.58 ," 8,414,747 "
20153,San Gabriel Mixtepec,NO," 4,910 "," 1,272 ", 75.5 ," 3,707 ", 19.38 , 952 , 29.35 ," 1,442 ", 11.70 , 575 , 82.95 ," 4,074 ", 28.92 ," 1,420 ", 71.91 ," 3,532 ", 14.15 , 695 , 76.84 ," 3,774 ", 31.95 ," 1,570 ",Medio, 9.31 , 9.20 , 48.06 , 12.16 , 8.18 , 2.52 , 1.89 , 7.63 , 1.73 , 64.94 , 33.18 ,Medio, 9.3 , 48.1 , 1.2 , 1.4 , 1.7 , 8.7 , 39.9 , 100.0 , 82.2 , 5.66 , 0.24 ," 11,743,714 "
20154,San Ildefonso Amatlán,NO," 2,329 ", 668 , 89.0 ," 2,073 ", 30.70 , 715 , 37.03 , 863 , 16.84 , 392 , 86.29 ," 2,011 ", 16.19 , 377 , 76.94 ," 1,793 ", 25.41 , 592 , 88.97 ," 2,073 ", 55.13 ," 1,285 ",Alto, 17.62 , 5.73 , 64.70 , 16.96 , 9.73 , 0.60 , 2.69 , 57.19 , 2.40 , 71.26 , 48.05 ,Alto, 17.6 , 64.7 , 0.3 , 1.9 , 2.2 , 9.8 , 30.8 , 100.0 , 93.7 , 1.65 , 0.15 ," 7,913,304 "
20155,San Ildefonso Sola,NO," 1,060 ", 259 , 87.0 , 922 , 48.71 , 516 , 34.73 , 368 , 50.67 , 537 , 89.50 , 949 , 43.70 , 463 , 83.97 , 890 , 28.44 , 301 , 87.17 , 924 , 55.74 , 591 ,Alto, 12.19 , 5.80 , 62.19 , 50.85 , 19.69 , 4.63 , 16.99 , 60.23 , 6.95 , 69.11 , 43.24 ,Muy alto, 12.2 , 62.2 , 3.5 , 8.7 , 19.5 , 21.8 , 45.9 , 100.0 , 91.6 , 16.60 , 1.54 ," 4,233,550 "
20156,San Ildefonso Villa Alta,NO," 3,677 "," 1,097 ", 57.4 ," 2,111 ", 13.16 , 484 , 34.29 ," 1,261 ", 38.91 ," 1,431 ", 53.55 ," 1,970 ", 13.69 , 504 , 38.32 ," 1,410 ", 18.68 , 687 , 65.05 ," 2,393 ", 27.69 ," 1,019 ",Bajo, 9.83 , 4.89 , 55.29 , 39.14 , 9.75 , 0.82 , 0.55 , 6.02 , 0.64 , 61.71 , 27.53 ,Medio, 9.8 , 55.3 , 0.5 , 0.4 , 0.2 , 9.5 , 21.4 , 100.0 , 88.3 , 3.63 , 0.45 ," 6,768,534 "
20157,San Jacinto Amilpas,NO," 16,827 "," 4,776 ", 22.8 ," 4,108 ", 3.00 , 540 , 7.53 ," 1,358 ", 46.35 ," 8,359 ", 56.25 ," 10,144 ", 6.34 ," 1,144 ", 5.83 ," 1,052 ", 15.12 ," 2,726 ", 25.61 ," 4,619 ", 6.64 ," 1,198 ",Muy bajo, 2.26 , 3.25 , 18.92 , 33.20 , 4.06 , 0.48 , 1.21 , 0.44 , 0.19 , 28.75 , 9.48 ,Muy bajo, 2.3 , 19.0 , 0.0 , 0.1 , 1.7 , 4.8 , 15.1 , -   , 56.5 , 4.92 , 0.16 ," 6,427,468 "
20158,San Jacinto Tlacotepec,NO," 2,233 ", 596 , 79.5 ," 1,775 ", 23.26 , 520 , 37.38 , 835 , 5.87 , 131 , 88.81 ," 1,984 ", 26.78 , 598 , 65.30 ," 1,459 ", 25.42 , 568 , 79.88 ," 1,784 ", 39.70 , 887 ,Medio, 14.34 , 2.99 , 61.48 , 5.96 , 18.96 , 0.84 , 4.53 , 36.91 , 2.35 , 48.49 , 28.36 ,Alto, 14.4 , 61.5 , 0.5 , 1.8 , 4.0 , 20.1 , 31.2 , 100.0 , 89.9 , 4.03 , 2.18 ," 7,059,347 "
20159,San Jerónimo Coatlán,NO," 5,537 "," 1,262 ", 91.4 ," 5,063 ", 42.55 ," 2,357 ", 29.65 ," 1,642 ", 15.57 , 863 , 91.35 ," 5,061 ", 40.80 ," 2,260 ", 85.91 ," 4,759 ", 24.94 ," 1,381 ", 91.72 ," 5,081 ", 61.68 ," 3,417 ",Alto, 11.46 , 6.65 , 53.50 , 15.66 , 23.77 , 4.12 , 3.72 , 49.13 , 6.58 , 70.13 , 45.56 ,Alto, 11.5 , 53.5 , 3.2 , 6.3 , 3.8 , 24.3 , 49.8 , 100.0 , 94.9 , 4.83 , 0.79 ," 18,876,438 "
20160,San Jerónimo Silacayoapilla,NO," 1,429 ", 451 , 65.8 , 941 , 10.91 , 156 , 36.78 , 526 , 21.40 , 306 , 75.48 ," 1,079 ", 12.33 , 176 , 43.09 , 616 , 17.93 , 256 , 68.32 , 977 , 25.00 , 357 ,Bajo, 10.01 , 8.79 , 62.44 , 21.55 , 2.00 , 4.88 , 5.99 , 15.08 , 1.33 , 29.05 , 17.96 ,Medio, 10.0 , 62.7 , 3.4 , 0.4 , 4.4 , 2.3 , 27.5 , 100.0 , 91.2 , 0.67 , -   ," 4,034,107 "
20161,San Jerónimo Sosola,NO," 2,730 ", 812 , 81.5 ," 2,224 ", 19.97 , 545 , 22.67 , 619 , 26.37 , 720 , 77.81 ," 2,125 ", 15.40 , 421 , 71.45 ," 1,951 ", 13.88 , 379 , 83.09 ," 2,269 ", 45.54 ," 1,244 ",Medio, 6.67 , 3.56 , 45.60 , 26.67 , 7.88 , 3.94 , 18.10 , 35.34 , 3.45 , 63.79 , 35.96 ,Alto, 6.7 , 45.6 , 2.5 , 2.6 , 17.7 , 8.0 , 30.5 , 100.0 , 90.9 , 1.11 , -   ," 8,029,092 "
20162,San Jerónimo Taviche,NO," 2,046 ", 491 , 92.0 ," 1,884 ", 45.46 , 931 , 26.65 , 545 , 25.36 , 519 , 91.43 ," 1,872 ", 44.68 , 915 , 82.57 ," 1,690 ", 27.74 , 568 , 92.20 ," 1,887 ", 62.67 ," 1,283 ",Alto, 9.23 , 6.90 , 49.11 , 25.42 , 18.94 , 4.68 , 33.81 , 27.29 , 3.46 , 81.06 , 65.17 ,Muy alto, 9.2 , 49.1 , 2.8 , 3.0 , 34.0 , 19.1 , 53.6 , 100.0 , 83.1 , 16.90 , 2.04 ," 7,439,572 "
20163,San Jerónimo Tecóatl,NO," 1,577 ", 453 , 87.4 ," 1,380 ", 47.06 , 743 , 36.94 , 583 , 22.28 , 352 , 79.41 ," 1,253 ", 32.44 , 512 , 80.59 ," 1,272 ", 32.96 , 520 , 88.58 ," 1,398 ", 67.88 ," 1,071 ",Alto, 26.03 , 7.88 , 57.96 , 23.08 , 15.01 , 1.32 , 5.96 , 37.75 , 1.32 , 88.74 , 63.80 ,Alto, 26.0 , 58.0 , 0.8 , 0.8 , 5.2 , 16.3 , 37.7 , 100.0 , 88.3 , 13.25 , 3.53 ," 6,701,526 "
20164,San Jorge Nuchita,NO," 2,881 ", 775 , 88.3 ," 2,545 ", 41.67 ," 1,201 ", 45.63 ," 1,315 ", 30.65 , 883 , 81.69 ," 2,354 ", 20.98 , 605 , 59.50 ," 1,715 ", 52.99 ," 1,527 ", 88.88 ," 2,561 ", 58.64 ," 1,690 ",Medio, 23.16 , 6.05 , 73.86 , 30.72 , 6.32 , 3.35 , 4.39 , 5.55 , 1.42 , 49.94 , 25.81 ,Alto, 23.2 , 73.9 , 2.2 , 1.2 , 3.9 , 5.9 , 29.7 , 100.0 , 95.2 , 0.51 , 0.13 ," 8,347,976 "
20165,San José Ayuquila,NO," 1,629 ", 458 , 80.5 ," 1,312 ", 21.68 , 353 , 30.92 , 504 , 11.99 , 195 , 64.29 ," 1,048 ", 19.42 , 317 , 62.14 ," 1,013 ", 29.69 , 484 , 83.40 ," 1,359 ", 44.46 , 725 ,Medio, 14.87 , 4.95 , 54.51 , 12.03 , 4.37 , 11.57 , 2.40 , 16.81 , 1.75 , 49.78 , 35.59 ,Alto, 14.9 , 54.6 , 10.7 , 1.4 , 1.8 , 3.5 , 38.6 , 100.0 , 95.5 , 0.87 , 0.44 ," 4,099,501 "
20166,San José Chiltepec,NO," 11,310 "," 3,081 ", 58.1 ," 7,221 ", 18.08 ," 2,247 ", 23.93 ," 2,973 ", 42.91 ," 5,332 ", 72.35 ," 8,990 ", 11.92 ," 1,481 ", 76.31 ," 9,482 ", 49.46 ," 6,146 ", 59.48 ," 7,391 ", 23.58 ," 2,930 ",Bajo, 13.24 , 3.28 , 42.44 , 23.47 , 7.43 , 4.54 , 3.12 , 21.16 , 1.66 , 43.85 , 18.53 ,Medio, 13.2 , 42.5 , 3.8 , 1.3 , 2.7 , 7.2 , 24.1 , 100.0 , 86.0 , 0.42 , 0.61 ," 24,092,632 "
20167,San José del Peñasco,NO," 2,149 ", 560 , 76.7 ," 1,649 ", 19.43 , 418 , 33.59 , 722 , 18.53 , 398 , 85.65 ," 1,842 ", 35.39 , 761 , 85.75 ," 1,844 ", 8.98 , 193 , 76.72 ," 1,649 ", 30.51 , 656 ,Alto, 9.52 , 5.71 , 62.65 , 18.57 , 27.68 , 0.71 , 17.86 , 67.50 , 3.04 , 86.07 , 58.04 ,Alto, 9.5 , 62.6 , 0.6 , 2.7 , 19.4 , 28.1 , 35.9 , 100.0 , 91.9 , 9.46 , 0.36 ," 7,138,697 "
20168,San José Estancia Grande,NO, 938 , 272 , 61.5 , 577 , 17.78 , 167 , 32.78 , 307 , 25.20 , 236 , 81.94 , 769 , 22.97 , 215 , 73.13 , 686 , 47.27 , 443 , 62.03 , 582 , 22.84 , 214 ,Medio, 21.90 , 13.54 , 51.75 , 24.84 , 8.09 , 12.50 , 2.21 , 12.50 , 7.35 , 57.35 , 19.49 ,Alto, 21.9 , 51.7 , 7.7 , 3.9 , 1.5 , 6.6 , 27.2 , 100.0 , 91.0 , 5.51 , 0.37 ," 3,473,719 "
20169,San José Independencia,SI," 4,251 "," 1,166 ", 91.3 ," 3,884 ", 55.95 ," 2,379 ", 40.23 ," 1,711 ", 25.09 ," 1,067 ", 84.54 ," 3,595 ", 62.57 ," 2,661 ", 98.45 ," 4,187 ", 46.81 ," 1,991 ", 91.42 ," 3,888 ", 63.23 ," 2,689 ",Muy alto, 28.42 , 6.69 , 68.84 , 25.45 , 52.74 , 3.69 , 44.68 , 77.10 , 6.00 , 90.14 , 56.86 ,Muy alto, 28.4 , 68.9 , 2.9 , 5.4 , 44.0 , 51.3 , 41.9 , 100.0 , 95.3 , 4.90 , 0.09 ," 14,909,804 "
20170,San José Lachiguiri,SI," 3,700 ", 894 , 96.4 ," 3,569 ", 53.69 ," 1,988 ", 40.72 ," 1,508 ", 9.24 , 342 , 77.21 ," 2,858 ", 45.18 ," 1,672 ", 88.81 ," 3,288 ", 41.16 ," 1,524 ", 96.46 ," 3,571 ", 80.02 ," 2,962 ",Muy alto, 28.63 , 3.93 , 59.79 , 9.27 , 30.09 , 2.35 , 47.43 , 77.18 , 4.81 , 98.55 , 66.22 ,Muy alto, 28.6 , 59.8 , 0.9 , 3.0 , 45.7 , 29.9 , 40.7 , 100.0 , 87.6 , 10.17 , 0.45 ," 17,079,355 "
20171,San José Tenango,SI," 18,102 "," 4,833 ", 96.6 ," 17,488 ", 73.55 ," 13,320 ", 45.80 ," 8,294 ", 21.03 ," 3,808 ", 81.63 ," 14,783 ", 73.07 ," 13,234 ", 96.67 ," 17,507 ", 49.94 ," 9,043 ", 96.84 ," 17,537 ", 83.52 ," 15,125 ",Muy alto, 32.64 , 10.22 , 70.21 , 21.59 , 53.36 , 2.59 , 67.99 , 62.90 , 11.79 , 92.76 , 80.14 ,Muy alto, 32.7 , 70.2 , 1.5 , 9.9 , 67.4 , 52.6 , 50.9 , 100.0 , 96.1 , 34.70 , 1.40 ," 110,800,278 "
20172,San Juan Achiutla,NO, 408 , 144 , 75.5 , 308 , 15.52 , 63 , 21.78 , 89 , 14.85 , 61 , 61.39 , 250 , 10.64 , 43 , 62.62 , 256 , 14.11 , 58 , 81.55 , 333 , 49.48 , 202 ,Bajo, 7.74 , 2.70 , 46.99 , 15.69 , 6.25 , 0.69 , 1.39 , 22.92 , 1.39 , 46.53 , 18.06 ,Bajo, 7.7 , 47.0 , 0.7 , 1.2 , 1.2 , 5.2 , 13.2 , 100.0 , 92.5 , 1.40 , 0.70 ," 2,900,191 "
20173,San Juan Atepec,NO," 1,457 ", 480 , 83.5 ," 1,217 ", 15.14 , 221 , 20.63 , 301 , 6.25 , 91 , 79.31 ," 1,156 ", 29.03 , 423 , 35.56 , 518 , 9.65 , 141 , 87.55 ," 1,276 ", 52.01 , 758 ,Medio, 6.61 , 6.70 , 52.46 , 6.18 , 23.13 , 1.67 , 1.46 , 8.96 , 0.42 , 40.00 , 37.50 ,Medio, 6.6 , 52.5 , 1.2 , 0.3 , 1.7 , 23.2 , 21.5 , 100.0 , 92.3 , 0.84 , 0.84 ," 3,615,490 "
20174,Ánimas Trujano,NO," 4,564 "," 1,219 ", 39.8 ," 1,819 ", 7.13 , 326 , 11.98 , 547 , 35.55 ," 1,623 ", 51.53 ," 2,353 ", 18.12 , 828 , 9.49 , 433 , 12.18 , 556 , 48.44 ," 2,212 ", 15.52 , 708 ,Muy bajo, 2.89 , 3.02 , 24.76 , 37.95 , 5.50 , 0.41 , 4.43 , 0.49 , 0.74 , 33.96 , 11.48 ,Muy bajo, 2.9 , 24.8 , 0.1 , 0.5 , 4.3 , 6.2 , 19.4 , 100.0 , 63.2 , 8.72 , -   ," 2,937,963 "
